,logFC,AveExpr,t,P.Value,adj.P.Val,B
C19orf21,4.633523868642539,6.720670576382208,6.207255094408441,3.5099991439352993e-09,6.179704492812488e-05,10.644370748807308
FXYD3,4.8016317990931485,7.419795112994901,5.808919730111443,2.7304844075267925e-08,0.00024036454239458356,8.708538181431317
B3GNT3,4.359571466125324,6.25830207173685,5.58239360256434,8.434557114156042e-08,0.0004949960418394376,7.652877752404771
MLPH,3.593253009597603,7.128752355206652,5.422754819221945,1.8347369222834466e-07,0.0008075594563430591,6.9238904386823235
ESRP1,3.1521594947840383,6.138775172391899,5.266017192107142,3.877777886439808e-07,0.001365443149373185,6.221638021741435
PITX1,6.046081559087483,3.8319513268598935,5.166155437220406,6.198528612470529e-07,0.0016495797065021697,5.760795985694518
AGR2,6.180994626122847,8.117393381720857,5.1385248065377676,7.04988251450767e-07,0.0016495797065021697,5.667915333162561
EPCAM,2.895173956406781,8.42084406727375,4.99560575354127,1.3614206548755385e-06,0.002663241338859859,5.057126291569588
ARHGEF16,2.666769754546323,5.5218515951462575,4.837953869499738,2.7717202744588523e-06,0.0045223475097227435,4.387303110897507
C1orf210,2.904384815676228,3.9005360194089,4.833642345915433,2.8255039535925353e-06,0.0045223475097227435,4.377292788088434
TSPAN1,3.8539662438795186,7.638604831493087,4.710621038887661,4.864423268412039e-06,0.007136919671971863,3.871099685973334
CGN,2.852140414258824,6.9225197195696175,4.6439783776924175,6.501838051885663e-06,0.007772177936742711,3.5936274739595397
ERBB3,3.0453753022886216,7.352591318325518,4.628464112517842,6.953220426257346e-06,0.007772177936742711,3.536520972984503
RSPH1,2.621261822439264,2.2547375949257127,4.624831098609493,7.0632083941771766e-06,0.007772177936742711,3.382947598225374
PKP3,3.1814107428371456,6.6209454998712856,4.585669791528671,8.360469278457827e-06,0.008658495418619324,3.357245835792787
PERP,2.031354884524439,8.268962859111857,4.55906771372444,9.36957261411129e-06,0.009164483080224632,3.2715461027767168
OVOL2,2.5630746873182795,2.940359081331639,4.5361692444977635,1.0331258203767566e-05,0.00929054376946928,3.145244944854616
C1orf116,2.7536878970154626,6.566932248690123,4.519687961850436,1.108153011239662e-05,0.00929054376946928,3.095312494910413
CAPN8,5.12110346970912,5.045576481024556,4.508708952105644,1.1610138072100198e-05,0.009291276858972549,3.066983485921467
TMC4,2.4707824636454188,6.515117684232216,4.489524477364834,1.2592588294017483e-05,0.009619967702222433,2.9764024850131214
SERPINB5,5.884344843258711,4.850835006103828,4.47992620892471,1.3113667207391707e-05,0.009619967702222433,2.9595621806673735
CKMT1B,2.99012614741508,4.980067948012729,4.4417473999434,1.5399189236505988e-05,0.010496331284392986,2.807904300767274
MARVELD2,1.9321984432848955,4.036962081515056,4.4401816159905225,1.550065962707132e-05,0.010496331284392986,2.8254670482213635
PRR15L,2.8453667294365577,5.8869935771852155,4.380589537682442,1.9877603833451024e-05,0.012241106313353569,2.553595250986678
CHRNA5,2.657513132680418,2.351958104121048,4.377154461762309,2.0163130926232732e-05,0.012241106313353569,2.491900586551573
PLXNA2,1.5618385061666373,6.249849425482278,4.350024459824128,2.2560723763240323e-05,0.013240136752520304,2.4351766745890933
GOLT1A,2.908286525969242,2.619836413171208,4.324243008126716,2.5090985726413694e-05,0.013496543746219935,2.3332940689591988
STEAP2,1.6708816636869632,5.436194596722356,4.317525206450402,2.5793712463385782e-05,0.013496543746219935,2.3199814418225113
AP1M2,2.131526779151846,6.331896743812545,4.3087489539073935,2.6740239685177005e-05,0.013496543746219935,2.2781363941515966
UGT1A10,6.938574418298566,3.818355572329252,4.296046514696826,2.8169389739128073e-05,0.013496543746219935,2.2856428795454367
SYT13,3.237770268521476,6.284357445038156,4.281910373635305,2.9845880352466923e-05,0.013496543746219935,2.1764337715717765
C2orf54,3.357227475975227,2.79706596957889,4.275126092400197,3.0684026028155766e-05,0.013496543746219935,2.173689825347581
FAM83E,3.823141804734881,4.481971433021507,4.27472425028525,3.073437149120991e-05,0.013496543746219935,2.1885669819103546
IL20RA,2.359598633594764,4.242982973847738,4.271381361137258,3.115626954011438e-05,0.013496543746219935,2.1843953864425574
CMBL,1.9387247929605147,5.556134361119291,4.2630218976051895,3.223571954865902e-05,0.013496543746219935,2.11155110620568
STX1A,2.286811390087601,4.820102380435855,4.259799427419944,3.266132537147888e-05,0.013496543746219935,2.120683463470658
SDR16C5,5.083817306901471,4.156217230130509,4.251947647816018,3.3720993843491555e-05,0.013496543746219935,2.1150733629269336
MYH14,2.589410876992252,8.33775058149832,4.248916843941728,3.413877037918542e-05,0.013496543746219935,2.082705217811397
JPH1,2.3152345865399733,2.5428246313018477,4.236363045936863,3.592260738492447e-05,0.013496543746219935,2.0135501153516353
CBLC,3.2241720043642528,4.7838322661368196,4.2335950070473585,3.632776826963489e-05,0.013496543746219935,2.0243090677023527
RIPK4,2.1614800479889054,5.189155997867226,4.229829312823432,3.6885985526592155e-05,0.013496543746219935,1.99676710179485
ABCA12,4.665265939098835,0.6335289263139683,4.197707609159773,4.199305031400016e-05,0.014786592876565736,1.6304640082343793
TMEM125,2.3920415104901065,4.504306900986306,4.179554311801037,4.517148045049129e-05,0.015518402221145882,1.8355630607119533
ERN2,5.930110711296405,5.290706108545634,4.175923612361021,4.583419944902793e-05,0.015518402221145882,1.7938788371249892
PPL,2.5800408124523484,7.04462826188536,4.164403587850013,4.799906707956188e-05,0.015944746698165407,1.746113231867871
NQO1,2.9185922519514778,7.507122763928193,4.157410256550591,4.936058206460742e-05,0.016093377922768114,1.7291742711950402
SPDEF,4.502702424640378,3.927860195806399,4.124198417669221,5.6346112561035815e-05,0.018036902868174484,1.6565232880069916
MARVELD3,1.8388469559943856,4.1250336946432204,4.101740220134547,6.15945229657279e-05,0.019364878059546526,1.5688316420137438
TACC2,1.559880041717225,5.613773267276584,4.090814199493393,6.431359104389833e-05,0.019553161307460935,1.4739577975839655
PPP1R14D,4.1002436381729765,1.5957208275325758,4.072557180501365,6.911441068870685e-05,0.020624208721785983,1.348147572056237
PCDH1,1.7319119700551076,7.244251640326479,4.040069035448948,7.851445580003927e-05,0.022295572722830503,1.2975842944153104
MYEOV,5.12678257339392,4.515382052497048,4.027086731843493,8.260151154418537e-05,0.022552085601738055,1.2843906824947622
ANKS4B,3.9705197119725524,2.609571036868157,4.026789682763945,8.269735909188845e-05,0.022552085601738055,1.2958171295869034
BAIAP2L2,3.4109908491593917,4.626095483809927,4.025050793914085,8.326056822179787e-05,0.022552085601738055,1.2719304267251967
FAM83F,2.2592321495588705,2.8276221853778285,4.006717626285211,8.942519457936864e-05,0.02336593546661359,1.239926937914202
FOXQ1,3.3169822851174335,5.264933908718469,4.000839709184337,9.149204393073101e-05,0.02336593546661359,1.1599028233969007
CDS1,1.7151554257615347,5.201729192355138,4.000609616114457,9.157386954426546e-05,0.02336593546661359,1.1612434853776943
RAB25,2.952877483308466,6.6155908226445135,3.965231681060869,0.00010501885699572939,0.02578127590223861,1.019627213504645
KCNK1,2.317616638485348,5.543678864453905,3.960778862163173,0.00010683851085408417,0.02578127590223861,1.0094499945655162
PTPN3,1.5678147799427014,5.2961006095995,3.958520410902074,0.00010777285722469464,0.02578127590223861,1.0088302896617245
SPINK5,3.9099097094005084,1.8335513816566344,3.92665805640061,0.0001218116417144507,0.027671415026436382,0.9000808657490715
FAM83A,5.920711802430267,3.2871329434487047,3.921723712792333,0.00012413543110247134,0.027671415026436382,0.9615955911954002
C11orf70,2.0176370717591627,1.1782875111985904,3.9208514114639503,0.00012455059219312764,0.027671415026436382,0.8125234530796943
LRRC1,1.2261919674380928,4.910137664523418,3.8903523002990252,0.00013992446170206177,0.03004280576495731,0.7854364709926864
CMTM8,1.3419112040737362,3.250308099590311,3.8715093734048196,0.0001503058130117391,0.031503382665293796,0.7926990418586595
CKMT1A,3.0352176981732955,3.4436095763513364,3.8532997535118265,0.00016102974514115484,0.03239653891920409,0.7290155030721719
CAMK2N1,1.5703323275166916,7.114325052002096,3.8532232253369965,0.00016107630885562102,0.03239653891920409,0.6365741931451234
IRX5,3.3747762594394155,0.6344493905207454,3.8479591425838517,0.00016431008657867482,0.03239653891920409,0.5311199241453552
TMPRSS4,5.38179656049979,6.891430966036742,3.8458744750566387,0.00016560766231559512,0.03239653891920409,0.6065797003859386
RNF128,2.6062252701709103,5.810677156283963,3.832060417695484,0.00017445479859696,0.03338533895758781,0.5547777331134638
ZDHHC9,1.126474889534654,5.914833991625506,3.8227124444187797,0.00018069390671866713,0.033843584273285675,0.5212648371792099
TMEM45B,3.091354585841194,4.989911777285618,3.8113461458047584,0.00018856515121329885,0.03494608476064568,0.5099902271646428
TLCD1,1.5952516810669826,3.011297653624757,3.8000652213089694,0.00019669777269425002,0.03607355193807256,0.5560709147753551
GSTO2,1.8649090028579014,3.5903682311871217,3.7922718181415735,0.00020250905035884136,0.03607956561616775,0.5208345241593646
NMU,4.921388953268968,1.630966858821886,3.789985580283016,0.00020424443256356192,0.03607956561616775,0.44950604442065867
ETV4,2.3473612690977625,4.6976110074914,3.780833141403005,0.0002113336980291178,0.0364749748174187,0.4207562645191416
MUC13,4.04084462250081,6.819679516105955,3.778234337606616,0.00021338875418573932,0.0364749748174187,0.37358160366766846
GTF2IRD1,1.1869761446646088,5.11229308362703,3.767347452181726,0.00022220519480445182,0.03647600299622447,0.35512335557977703
ASPHD1,2.1125560923160127,4.120119830737201,3.7670238394904496,0.00022247246707467663,0.03647600299622447,0.4087566689908604
S100A5,2.5126877187235124,-2.0293351732952565,3.765477570470395,0.0002237537387022744,0.03647600299622447,0.07971797052201168
TM4SF5,4.3979137888790945,2.8887857263520496,3.7444611403955523,0.00024187569504858207,0.03871330442750306,0.37466026375119377
FAM188B,0.9667509170249939,3.536440870588941,3.7299755049294756,0.0002551651545752271,0.040472411814877915,0.31767275976474174
S100P,5.780680381148876,6.680290276719221,3.7143173984823346,0.0002703053358360261,0.04211500657282369,0.15551802577780727
FOXA1,3.2412917702646147,2.6898068449058066,3.689833100864973,0.0002956922878474971,0.04498945596642292,0.1975944280914259
FOXA3,3.001926258897046,4.918336695113677,3.6769908985466366,0.00030989217500785763,0.04623696299312154,0.06198905776922192
TFF1,6.44083413805502,6.512187234104384,3.6718850473338973,0.0003157146937796106,0.04632060748903187,0.011895410577253962
AIM1L,3.465119759015694,3.102136165947869,3.6608065703458803,0.00032870512962480665,0.0470502643266207,0.10690290993267393
PLS1,2.31849291729916,6.207278188510502,3.655988394642293,0.00033451078258473887,0.047495135791829936,-0.04234818868310697
TOB1,1.4757888391087395,6.607466732438534,3.6500829300900515,0.00034175851957073025,0.047635706333099076,-0.05920564175029508
USH1C,3.0246798646305537,5.935069006056757,3.649861325886656,0.0003420333552048359,0.047635706333099076,-0.06128963370018514
TUFT1,1.5668329743108615,5.420483934771939,3.6485870421748503,0.00034361778395453725,0.047635706333099076,-0.05354078933369344
BAIAP2L1,1.9139069476921913,6.759464878668401,3.626517274456094,0.00037218152606750756,0.050404830368804145,-0.13443002526874714
EPHB3,2.118154060174742,4.813114247817523,3.6147135266480523,0.0003883626810789346,0.051799343659664564,-0.13683951996211619
C2orf70,2.8702842052761643,-0.2054513189340384,3.5897964265547126,0.0004247215569906057,0.05553919930976413,-0.2896619038260084
CDHR5,3.8939942413851956,4.386701009161669,3.5869844496066836,0.0004290202832061752,0.05553919930976413,-0.19962461236911722
AREG,3.0682431695946963,3.847539493553065,3.5750131720533727,0.00044778346867368443,0.056311969639063486,-0.1995249538017756
HTR1D,2.8147251152376134,1.9626187263998331,3.5683859953480073,0.0004584999162996337,0.05692032323676799,-0.20169471836091546
HR,2.1280764674123267,3.732851451233861,3.5680271541835555,0.00045908701008866607,0.05692032323676799,-0.21392627589979796
CDCP1,1.7909000093341252,6.721563965173413,3.561496373285974,0.0004698962481068617,0.05756403227531469,-0.3468847970404143
C2orf72,2.743576240180267,4.040543337188218,3.556822651869132,0.00047777828523796686,0.057614825273285236,-0.2711343663824648
ACOT11,1.5298555392815376,3.7317206911341976,3.54805139582037,0.0004929073557898073,0.058124172531888375,-0.2769040359103663
MS4A8B,3.7501765203683552,2.738607772931879,3.5471641943803576,0.0004944624726493175,0.058124172531888375,-0.24474934099803303
KRT19,3.386475531732769,10.132412762675202,3.5284536501602806,0.0005283530855031947,0.059166597526551803,-0.36394451369948033
MSLN,5.583085509965923,6.923737929382629,3.526368523631507,0.000532262199009204,0.059166597526551803,-0.45583300506438285
TFF2,6.059012839637525,5.385456746325356,3.521520599013072,0.0005414561718786894,0.05958048351310128,-0.4647782893202237
BAIAP2,1.416450228394874,5.871431275922594,3.5188943318323385,0.0005464989105230756,0.059761862227759435,-0.4862871102281856
MAL2,2.255494940581454,7.856267168238006,3.510767350836106,0.0005623845199238889,0.060374035718170654,-0.48045187842617754
C14orf50,1.8636557242322067,1.754658586986047,3.5089074542622987,0.000566080482562455,0.060402502884815655,-0.38779993472897356
FOXA2,2.5866480254336093,4.220260899423651,3.4913928726508243,0.000602021384841986,0.06346819461992818,-0.49119802966869575
FOXL1,2.9658628434012506,4.178792422404538,3.475232442069615,0.0006370727469588965,0.06636865552046349,-0.5385724375755485
MANSC1,1.2879708018945237,5.69352232209785,3.465401805474619,0.0006593218844024386,0.06788316430870955,-0.6527956896596558
CLRN3,3.6255295454963363,2.4635183268730376,3.4609156655928555,0.0006697153484822694,0.06807267648468884,-0.5057211929908263
RAB17,1.8308978178206066,4.644499365884978,3.459613053406565,0.0006727618827863149,0.06807267648468884,-0.6217685789890668
SPIRE2,2.299458185366701,4.062306929246583,3.457882713366136,0.0006768288726336985,0.06809285218050797,-0.5833787961069987
KLF5,2.493074878010619,7.150494689905346,3.449623717845723,0.0006965602476062463,0.06889685235593018,-0.6935356095103353
FAM3D,4.571242820277386,3.960715742129834,3.443633000586846,0.0007112083990606837,0.06940512617564513,-0.6193881681757629
FAM108C1,2.028990391960007,5.869997212279875,3.441533548791638,0.0007164097822132507,0.06940512617564513,-0.7314008741360949
PSCA,6.271550936946992,5.228125844142838,3.4389392914884174,0.0007228862632956689,0.06954718880646747,-0.7193128351960674
ALG1L,3.0807406596912,0.6315440085479862,3.4299145137209277,0.0007458460351224209,0.0708171214436099,-0.6782484156475546
LOC285419,2.1984901452038965,-1.026550394706191,3.4290220874026103,0.0007481531630416585,0.0708171214436099,-0.7722522011985653
EPS8L3,4.135091484251313,5.542002735571342,3.4270749686485256,0.0007532101271681194,0.07091453207979631,-0.7687857712964288
SCEL,4.567389343184113,3.116082348369787,3.410698772440307,0.000797025780616555,0.07254730457515889,-0.6647205645677126
AQP5,4.892726840143194,4.621983590644846,3.4098368827841847,0.0007993966311246635,0.07254730457515889,-0.7749965806338457
KRT15,3.343309149093322,3.2678863704322354,3.407277946857795,0.0008064745811983969,0.07266448506717164,-0.6819888543723067
LRP11,1.192263926995678,5.702328558270392,3.406390695419731,0.0008089423533548587,0.07266448506717164,-0.8378504965321518
COL17A1,5.100152064825347,6.473710495064935,3.393302046694557,0.000846177260152189,0.07465483182799018,-0.8827919647104219
KDELR2,0.8651783908282811,8.334292908119497,3.3903321791448766,0.0008548462016488534,0.07469833851504169,-0.8435731738816443
PLEKHG6,1.89680371659882,4.411031173041157,3.388906202638738,0.0008590380196035023,0.07469833851504169,-0.8237701689738772
HIST2H2BE,1.8522494986044733,4.601630496404498,3.3861951259692837,0.0008670605817169008,0.07469833851504169,-0.8463521836558012
TMEM30B,1.5159452662982629,6.134243619833042,3.3842786283579356,0.0008727740386326421,0.07469833851504169,-0.9119715245030227
CYP2C18,4.05552800287965,3.3972686854618277,3.3774939481905433,0.0008932845534859315,0.07482475186532112,-0.7786486730592994
STEAP1,2.042732240258152,4.269225408461709,3.3765539371676883,0.0008961615352754456,0.07482475186532112,-0.8501992661170252
BCMO1,2.380384628059853,1.1654519454684864,3.3750668773524253,0.0009007304943868942,0.07482475186532112,-0.7989626242920131
STYK1,2.7120900965645465,2.962665141877323,3.3749823058769857,0.0009009909914488286,0.07482475186532112,-0.7651216523516258
WBSCR26,3.2102857404901406,1.3881670185187207,3.372064270211095,0.0009100223621415942,0.07521997045945966,-0.7961257347000963
